engine,kind,phash,dataset,split,seed,n,n_budget_truncated,acc_orig,acc_strict,acc_perm,acc_matched_strict,acc_matched_perm,unparsed_orig,unparsed_strict,mean_think
vllm,static_budget,0047e49359,gsm8k,dev,0,200,1,0.945,0.945,0.945,0.945,0.945,0.010000000000000009,0.0050000000000000044,1311.035
vllm,static_budget,0047e49359,math_train,dev,0,800,188,0.71875,0.71875,0.73,0.7175,0.73,0.22124999999999995,0.21750000000000003,3535.99
vllm,budget_prompt,05b4b767ba,gsm8k,dev,0,200,0,0.935,0.94,0.94,0.94,0.94,0.0050000000000000044,0.0,1368.11
vllm,budget_prompt,05b4b767ba,math_train,dev,0,800,141,0.8375,0.8375,0.84125,0.695,0.71125,0.06499999999999995,0.06374999999999997,4468.93
hf,exit_only,079322feb6,aime,test,0,30,10,0.23333333333333334,0.23333333333333334,0.23333333333333334,0.23333333333333334,0.23333333333333334,0.09999999999999998,0.09999999999999998,13491.666666666666
hf,exit_only,079322feb6,aime,test,1,30,10,0.2,0.2,0.2,0.16666666666666666,0.16666666666666666,0.1333333333333333,0.1333333333333333,9926.2
hf,exit_only,079322feb6,aime,test,2,30,7,0.23333333333333334,0.23333333333333334,0.23333333333333334,0.23333333333333334,0.23333333333333334,0.06666666666666665,0.06666666666666665,10630.966666666667
hf,exit_only,079322feb6,aime,test,3,30,10,0.26666666666666666,0.26666666666666666,0.26666666666666666,0.26666666666666666,0.26666666666666666,0.09999999999999998,0.09999999999999998,13061.2
hf,exit_only,079322feb6,aime,test,4,30,12,0.2,0.2,0.2,0.13333333333333333,0.13333333333333333,0.033333333333333326,0.033333333333333326,10209.4
hf,exit_only,079322feb6,aime,test,5,30,9,0.2,0.2,0.2,0.2,0.2,0.033333333333333326,0.033333333333333326,11349.633333333333
hf,exit_only,079322feb6,aime,test,6,30,10,0.2,0.2,0.2,0.16666666666666666,0.16666666666666666,0.09999999999999998,0.09999999999999998,12065.433333333332
hf,exit_only,079322feb6,aime,test,7,30,9,0.36666666666666664,0.36666666666666664,0.36666666666666664,0.3,0.3,0.06666666666666665,0.06666666666666665,11200.466666666667
hf,exit_only,079322feb6,gpqa_diamond,test,0,198,72,0.29797979797979796,0.29797979797979796,0.29797979797979796,0.2222222222222222,0.22727272727272727,0.101010101010101,0.101010101010101,6622.343434343435
hf,exit_only,079322feb6,gpqa_diamond,test,1,198,54,0.3383838383838384,0.3383838383838384,0.3434343434343434,0.29797979797979796,0.29797979797979796,0.08080808080808077,0.08080808080808077,6863.085858585859
hf,exit_only,079322feb6,gpqa_diamond,test,2,198,43,0.2878787878787879,0.2878787878787879,0.29292929292929293,0.2828282828282828,0.29797979797979796,0.07070707070707072,0.07070707070707072,5973.747474747474
hf,exit_only,079322feb6,gpqa_diamond,test,3,198,54,0.3686868686868687,0.3686868686868687,0.3686868686868687,0.3333333333333333,0.3333333333333333,0.06565656565656564,0.06565656565656564,6574.934343434344
hf,exit_only,079322feb6,gpqa_diamond,test,4,198,70,0.37373737373737376,0.37373737373737376,0.37373737373737376,0.31313131313131315,0.31313131313131315,0.07070707070707072,0.07070707070707072,6747.5
hf,exit_only,079322feb6,gpqa_diamond,test,5,198,49,0.3383838383838384,0.3383838383838384,0.3434343434343434,0.31313131313131315,0.3181818181818182,0.06565656565656564,0.06565656565656564,6364.247474747474
hf,exit_only,079322feb6,gpqa_diamond,test,6,198,50,0.24242424242424243,0.24242424242424243,0.25252525252525254,0.23232323232323232,0.24242424242424243,0.09595959595959591,0.09595959595959591,6554.979797979798
hf,exit_only,079322feb6,gpqa_diamond,test,7,198,58,0.3383838383838384,0.3383838383838384,0.3383838383838384,0.2676767676767677,0.2676767676767677,0.08080808080808077,0.08080808080808077,6603.459595959596
hf,exit_only,079322feb6,gsm8k,dev,0,200,1,0.59,0.835,0.85,0.835,0.85,0.355,0.05500000000000005,506.155
hf,exit_only,079322feb6,gsm8k,test,0,250,3,0.792,0.792,0.792,0.792,0.792,0.016000000000000014,0.016000000000000014,810.384
hf,exit_only,079322feb6,gsm8k,test,1,250,6,0.828,0.828,0.836,0.828,0.84,0.02400000000000002,0.02400000000000002,658.472
hf,exit_only,079322feb6,gsm8k,test,2,250,0,0.832,0.832,0.832,0.832,0.832,0.01200000000000001,0.01200000000000001,672.896
hf,exit_only,079322feb6,gsm8k,test,3,250,4,0.84,0.84,0.84,0.836,0.84,0.01200000000000001,0.01200000000000001,776.508
hf,exit_only,079322feb6,gsm8k,test,4,250,1,0.864,0.864,0.864,0.86,0.86,0.01200000000000001,0.01200000000000001,642.908
hf,exit_only,079322feb6,gsm8k,test,5,250,4,0.856,0.856,0.86,0.852,0.856,0.01200000000000001,0.01200000000000001,588.876
hf,exit_only,079322feb6,gsm8k,test,6,250,1,0.844,0.844,0.852,0.84,0.848,0.028000000000000025,0.028000000000000025,657.2
hf,exit_only,079322feb6,gsm8k,test,7,250,3,0.832,0.832,0.836,0.832,0.84,0.03200000000000003,0.03200000000000003,745.356
hf,exit_only,079322feb6,math500,test,0,500,51,0.798,0.798,0.804,0.756,0.766,0.028000000000000025,0.028000000000000025,2401.146
hf,exit_only,079322feb6,math500,test,1,500,54,0.822,0.822,0.832,0.774,0.786,0.028000000000000025,0.028000000000000025,2328.314
hf,exit_only,079322feb6,math500,test,2,500,41,0.806,0.806,0.812,0.78,0.792,0.026000000000000023,0.026000000000000023,2253.406
hf,exit_only,079322feb6,math500,test,3,500,60,0.79,0.79,0.796,0.744,0.752,0.038000000000000034,0.038000000000000034,2301.102
hf,exit_only,079322feb6,math500,test,4,500,48,0.808,0.808,0.816,0.77,0.786,0.03200000000000003,0.03200000000000003,2392.458
hf,exit_only,079322feb6,math500,test,5,500,42,0.804,0.804,0.81,0.772,0.776,0.028000000000000025,0.028000000000000025,2285.41
hf,exit_only,079322feb6,math500,test,6,500,51,0.804,0.804,0.81,0.764,0.774,0.03600000000000003,0.03600000000000003,2186.394
hf,exit_only,079322feb6,math500,test,7,500,42,0.822,0.822,0.826,0.784,0.788,0.02200000000000002,0.02200000000000002,2349.002
hf,exit_only,079322feb6,math_train,dev,0,800,58,0.6825,0.8125,0.8225,0.8125,0.82125,0.22999999999999998,0.08374999999999999,2259.55625
vllm,budget_prompt,0ffacaf1d3,gsm8k,dev,0,200,0,0.93,0.93,0.93,0.93,0.93,0.0,0.0,1265.56
vllm,budget_prompt,0ffacaf1d3,math_train,dev,0,800,170,0.855,0.855,0.855,0.6825,0.695,0.04625000000000001,0.04625000000000001,4438.94625
vllm,noop,2217fed51d,aime,test,0,30,12,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.1,0.1,0.06666666666666665,0.06666666666666665,15348.1
vllm,noop,2217fed51d,aime,test,1,30,16,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.06666666666666667,0.06666666666666667,0.09999999999999998,0.09999999999999998,14370.366666666667
vllm,noop,2217fed51d,aime,test,2,30,14,0.23333333333333334,0.23333333333333334,0.23333333333333334,0.1,0.1,0.033333333333333326,0.033333333333333326,13838.5
vllm,noop,2217fed51d,aime,test,3,30,12,0.23333333333333334,0.23333333333333334,0.23333333333333334,0.1,0.1,0.1333333333333333,0.1333333333333333,15365.366666666667
vllm,noop,2217fed51d,aime,test,4,30,12,0.2,0.2,0.2,0.1,0.1,0.06666666666666665,0.06666666666666665,15564.5
vllm,noop,2217fed51d,aime,test,5,30,13,0.3,0.3,0.3,0.03333333333333333,0.03333333333333333,0.09999999999999998,0.09999999999999998,14297.333333333334
vllm,noop,2217fed51d,aime,test,6,30,17,0.23333333333333334,0.23333333333333334,0.23333333333333334,0.06666666666666667,0.06666666666666667,0.06666666666666665,0.06666666666666665,13236.1
vllm,noop,2217fed51d,aime,test,7,30,12,0.26666666666666666,0.26666666666666666,0.26666666666666666,0.13333333333333333,0.13333333333333333,0.16666666666666663,0.16666666666666663,14812.266666666666
vllm,noop,2217fed51d,gpqa_diamond,test,0,198,64,0.23737373737373738,0.23737373737373738,0.2676767676767677,0.1717171717171717,0.1919191919191919,0.18686868686868685,0.18686868686868685,7776.681818181818
vllm,noop,2217fed51d,gpqa_diamond,test,1,198,63,0.25252525252525254,0.25252525252525254,0.2878787878787879,0.1919191919191919,0.20202020202020202,0.16666666666666663,0.16666666666666663,8534.060606060606
vllm,noop,2217fed51d,gpqa_diamond,test,2,198,72,0.26262626262626265,0.26262626262626265,0.31313131313131315,0.21212121212121213,0.23737373737373738,0.23737373737373735,0.23737373737373735,8365.535353535353
vllm,noop,2217fed51d,gpqa_diamond,test,3,198,66,0.23232323232323232,0.23232323232323232,0.2676767676767677,0.18181818181818182,0.21212121212121213,0.2272727272727273,0.2272727272727273,8035.247474747474
vllm,noop,2217fed51d,gpqa_diamond,test,4,198,63,0.2777777777777778,0.2777777777777778,0.32323232323232326,0.21717171717171718,0.23232323232323232,0.1717171717171717,0.1717171717171717,8075.19696969697
vllm,noop,2217fed51d,gpqa_diamond,test,5,198,63,0.20707070707070707,0.20707070707070707,0.23737373737373738,0.18181818181818182,0.18686868686868688,0.202020202020202,0.202020202020202,7784.914141414141
vllm,noop,2217fed51d,gpqa_diamond,test,6,198,62,0.21212121212121213,0.21212121212121213,0.2727272727272727,0.16666666666666666,0.20202020202020202,0.19191919191919193,0.19191919191919193,7725.343434343435
vllm,noop,2217fed51d,gpqa_diamond,test,7,198,64,0.23737373737373738,0.23737373737373738,0.2777777777777778,0.18181818181818182,0.21212121212121213,0.2222222222222222,0.2222222222222222,7920.606060606061
vllm,noop,2217fed51d,gsm8k,dev,0,200,0,0.96,0.96,0.96,0.96,0.96,0.0,0.0,1308.325
vllm,noop,2217fed51d,gsm8k,test,0,250,0,0.864,0.864,0.864,0.864,0.864,0.0040000000000000036,0.0040000000000000036,2065.368
vllm,noop,2217fed51d,gsm8k,test,1,250,2,0.868,0.868,0.872,0.868,0.872,0.008000000000000007,0.008000000000000007,2110.412
vllm,noop,2217fed51d,gsm8k,test,2,250,0,0.892,0.892,0.892,0.892,0.892,0.008000000000000007,0.008000000000000007,2008.588
vllm,noop,2217fed51d,gsm8k,test,3,250,1,0.876,0.876,0.876,0.876,0.876,0.008000000000000007,0.008000000000000007,2056.964
vllm,noop,2217fed51d,gsm8k,test,4,250,1,0.888,0.888,0.888,0.888,0.888,0.008000000000000007,0.008000000000000007,2107.54
vllm,noop,2217fed51d,gsm8k,test,5,250,1,0.9,0.9,0.9,0.9,0.9,0.0040000000000000036,0.0040000000000000036,2122.164
vllm,noop,2217fed51d,gsm8k,test,6,250,2,0.868,0.868,0.868,0.864,0.864,0.0040000000000000036,0.0040000000000000036,2093.748
vllm,noop,2217fed51d,gsm8k,test,7,250,2,0.856,0.856,0.856,0.856,0.856,0.01200000000000001,0.01200000000000001,2089.476
vllm,noop,2217fed51d,math500,test,0,500,111,0.836,0.836,0.836,0.66,0.672,0.04800000000000004,0.04800000000000004,4619.868
vllm,noop,2217fed51d,math500,test,1,500,112,0.83,0.83,0.83,0.664,0.672,0.04600000000000004,0.04600000000000004,4667.782
vllm,noop,2217fed51d,math500,test,2,500,110,0.844,0.844,0.844,0.658,0.672,0.04600000000000004,0.04600000000000004,4629.362
vllm,noop,2217fed51d,math500,test,3,500,90,0.826,0.826,0.826,0.684,0.7,0.05600000000000005,0.05600000000000005,4562.96
vllm,noop,2217fed51d,math500,test,4,500,103,0.84,0.84,0.842,0.664,0.682,0.052000000000000046,0.052000000000000046,4811.5
vllm,noop,2217fed51d,math500,test,5,500,108,0.832,0.832,0.832,0.67,0.688,0.06399999999999995,0.062000000000000055,4727.132
vllm,noop,2217fed51d,math500,test,6,500,97,0.828,0.828,0.828,0.686,0.692,0.04800000000000004,0.04800000000000004,4422.79
vllm,noop,2217fed51d,math500,test,7,500,98,0.824,0.824,0.826,0.682,0.694,0.052000000000000046,0.052000000000000046,4779.978
vllm,noop,2217fed51d,math_train,dev,0,800,161,0.865,0.865,0.8675,0.70375,0.71625,0.04500000000000004,0.04500000000000004,4528.875
vllm,budget_prompt,2d1d25d9dc,gsm8k,dev,0,200,0,0.925,0.925,0.925,0.925,0.925,0.0,0.0,1351.44
vllm,budget_prompt,2d1d25d9dc,math_train,dev,0,800,154,0.85875,0.8575,0.85875,0.70875,0.71375,0.053749999999999964,0.053749999999999964,4411.11125
hf,full,33044f6502,gsm8k,dev,0,200,0,0.605,0.805,0.81,0.805,0.81,0.345,0.09499999999999997,1658.875
hf,full,33044f6502,math_train,dev,0,800,40,0.49625,0.58875,0.59375,0.58875,0.59375,0.46375,0.35875,6013.1075
hf,exit_only,42c3453b67,gsm8k,dev,0,200,0,0.53,0.835,0.835,0.835,0.835,0.43000000000000005,0.050000000000000044,698.065
hf,exit_only,42c3453b67,math_train,dev,0,800,27,0.635,0.77375,0.77875,0.77375,0.77875,0.28500000000000003,0.12875000000000003,3353.43625
hf,full,499c0ea86f,gsm8k,dev,0,200,1,0.53,0.785,0.8,0.785,0.8,0.42500000000000004,0.125,2077.085
hf,full,499c0ea86f,math_train,dev,0,800,48,0.495,0.6075,0.615,0.6075,0.61375,0.47750000000000004,0.35250000000000004,6071.10625
hf,noop,5391bd1826,aime,test,0,30,15,0.2,0.2,0.2,0.1,0.1,0.0,0.0,15196.766666666666
hf,noop,5391bd1826,aime,test,1,30,16,0.3,0.3,0.3,0.1,0.1,0.0,0.0,14780.5
hf,noop,5391bd1826,aime,test,2,30,14,0.23333333333333334,0.23333333333333334,0.23333333333333334,0.13333333333333333,0.13333333333333333,0.0,0.0,13097.866666666667
hf,noop,5391bd1826,gpqa_diamond,test,0,198,67,0.25757575757575757,0.25757575757575757,0.30808080808080807,0.1919191919191919,0.2222222222222222,0.24242424242424243,0.24242424242424243,8121.535353535353
hf,noop,5391bd1826,gpqa_diamond,test,1,198,74,0.23232323232323232,0.23232323232323232,0.29292929292929293,0.1919191919191919,0.22727272727272727,0.20707070707070707,0.20707070707070707,7675.580808080808
hf,noop,5391bd1826,gpqa_diamond,test,2,198,61,0.25757575757575757,0.25757575757575757,0.3282828282828283,0.2222222222222222,0.2727272727272727,0.2272727272727273,0.2272727272727273,7507.848484848485
hf,noop,5391bd1826,gsm8k,dev,0,200,1,0.92,0.92,0.92,0.92,0.92,0.0050000000000000044,0.0050000000000000044,1912.89
hf,noop,5391bd1826,gsm8k,test,0,250,2,0.856,0.856,0.856,0.852,0.852,0.0,0.0,2408.84
hf,noop,5391bd1826,gsm8k,test,1,250,1,0.896,0.896,0.896,0.892,0.892,0.0,0.0,1915.996
hf,noop,5391bd1826,gsm8k,test,2,250,3,0.884,0.884,0.884,0.88,0.88,0.008000000000000007,0.008000000000000007,2164.404
hf,noop,5391bd1826,math500,test,0,500,117,0.846,0.846,0.848,0.674,0.686,0.014000000000000012,0.014000000000000012,4476.304
hf,noop,5391bd1826,math500,test,1,500,117,0.852,0.852,0.852,0.698,0.7,0.01200000000000001,0.010000000000000009,4534.91
hf,noop,5391bd1826,math500,test,2,500,126,0.834,0.834,0.836,0.67,0.686,0.014000000000000012,0.014000000000000012,4491.326
hf,noop,5391bd1826,math_train,dev,0,800,194,0.855,0.855,0.855,0.6925,0.70375,0.007499999999999951,0.007499999999999951,4662.5375
hf,exit_only,5733e5f65d,gsm8k,dev,0,200,0,0.615,0.89,0.89,0.89,0.89,0.35,0.020000000000000018,718.775
hf,exit_only,5733e5f65d,math_train,dev,0,800,30,0.63875,0.75875,0.76375,0.75875,0.76375,0.28374999999999995,0.15249999999999997,3386.6725
vllm,concise_prompt,5a781303f9,aime,test,0,30,14,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.06666666666666667,0.06666666666666667,0.06666666666666665,0.06666666666666665,12810.166666666666
vllm,concise_prompt,5a781303f9,aime,test,1,30,16,0.3,0.3,0.3,0.06666666666666667,0.06666666666666667,0.09999999999999998,0.09999999999999998,14456.366666666667
vllm,concise_prompt,5a781303f9,aime,test,2,30,12,0.26666666666666666,0.26666666666666666,0.26666666666666666,0.06666666666666667,0.06666666666666667,0.06666666666666665,0.06666666666666665,13969.166666666666
vllm,concise_prompt,5a781303f9,aime,test,3,30,9,0.2,0.2,0.2,0.1,0.1,0.09999999999999998,0.09999999999999998,13823.533333333333
